,,event,position,timestamp,status,rate
0,0,0,0,1,1,1
1,0,0,0,1,1,1.0
1,1,4,91,93,1,1.25
1,2,6,229,203,1,1.0
1,3,4,229,203,1,1.25
1,4,2,225,204,1,1.25
1,5,1,226,205,0,1.25
1,6,0,226,214,1,1.25
1,7,4,264,246,1,1.5
1,8,4,277,255,1,1.25
1,9,4,315,285,1,1.5
1,10,4,332,296,1,2.0
2,0,0,0,1,1,1.0
2,1,4,11,13,1,2.0
3,0,0,0,0,1,1.0
3,1,4,0,1,1,2.0
4,0,0,0,1,1,1.0
4,1,4,1,3,1,2.0
5,0,0,0,0,1,1.0
5,1,4,0,1,1,2.0
6,0,0,0,0,1,1.0
6,1,4,0,1,1,2.0
7,0,0,0,1,1,1.0
7,1,4,3,5,1,2.0
8,0,0,0,0,1,1.0
8,1,4,0,1,1,2.0
9,0,0,0,1,1,1.0
9,1,4,1,3,1,2.0
10,0,0,0,1,1,1.0
10,1,4,2,4,1,2.0
11,0,0,0,0,1,1.0
11,1,4,0,1,1,2.0
12,0,0,0,1,1,1.0
12,1,4,1,3,1,2.0
13,0,0,0,1,1,1.0
13,1,4,1,3,1,2.0
14,0,0,0,0,1,1.0
14,1,4,0,1,1,2.0
15,0,0,0,0,1,1.0
15,1,4,0,1,1,2.0
16,0,0,0,0,1,1.0
16,1,4,0,1,1,2.0
17,0,0,0,0,1,1.0
17,1,4,0,1,1,2.0
18,0,0,0,0,1,1.0
18,1,4,0,1,1,2.0
19,0,0,0,0,1,1.0
19,1,4,0,1,1,2.0
20,0,0,0,0,1,1.0
20,1,4,0,1,1,2.0
21,0,0,0,0,1,1.0
21,1,4,0,1,1,2.0
22,0,0,0,0,1,1.0
22,1,4,0,1,1,2.0
23,0,0,0,0,1,1.0
23,1,4,0,1,1,2.0
24,0,0,0,0,1,1.0
24,1,4,0,1,1,2.0
25,0,0,0,1,1,1.0
25,1,1,155,155,0,1.0
25,2,0,155,245,1,1.0
25,3,2,153,249,1,1.0
25,4,1,153,249,0,1.0
25,5,0,153,258,1,1.0
25,6,4,164,270,1,1.25
25,7,6,164,270,1,1.0
26,0,0,0,1,1,1
26,1,3,129,114,1,1
26,2,3,157,128,1,1
26,3,1,184,155,0,1
27,0,0,205,560,1,1
27,1,2,223,585,1,1
27,2,1,224,587,0,1
27,3,0,224,756,1,1
27,4,2,249,789,1,1
27,5,1,251,791,0,1
27,6,0,251,933,1,1
27,7,2,247,938,1,1
27,8,1,279,970,0,1
27,9,0,279,986,1,1
27,10,2,281,1004,1,1
27,11,1,284,1007,0,1
27,12,0,284,1139,1,1
27,13,1,292,1147,0,1
27,14,0,292,1219,1,1
27,15,1,306,1233,0,1
27,16,0,306,1241,1,1
27,17,1,367,1302,0,1
27,18,0,367,1367,1,1
28,0,0,0,1,1,1
28,1,1,54,55,0,1
28,2,0,54,57,1,1
28,3,2,54,70,1,1
28,4,1,55,71,0,1
28,5,0,55,220,1,1
28,6,1,81,246,0,1
28,7,0,81,276,1,1
28,8,1,111,306,0,1
28,9,0,111,342,1,1
28,10,2,121,356,1,1
28,11,1,121,358,0,1
28,12,0,121,367,1,1
28,13,1,125,371,0,1
28,14,0,125,379,1,1
28,15,3,145,393,1,1
28,16,2,160,412,1,1
28,17,1,160,412,0,1
28,18,0,160,445,1,1
28,19,1,183,468,0,1
28,20,0,183,520,1,1
28,21,2,186,526,1,1
28,22,2,182,534,1,1
28,23,3,187,537,1,1
28,24,1,246,596,0,1
28,25,0,246,599,1,1
28,26,2,248,630,1,1
28,27,1,249,633,0,1
28,28,0,249,697,1,1
28,29,3,279,705,1,1
28,30,1,283,710,0,1
28,31,0,283,716,1,1
28,32,1,286,719,0,1
29,0,0,0,1,1,1
29,1,2,21,33,1,1
29,2,1,21,35,0,1
29,3,0,21,75,1,1
29,4,2,115,174,1,1
29,5,1,116,175,0,1
29,6,0,116,251,1,1
29,7,2,193,352,1,1
29,8,3,199,356,1,1
29,9,1,251,408,0,1
29,10,0,251,480,1,1
29,11,2,256,490,1,1
29,12,1,258,492,0,1
29,13,0,258,503,1,1
29,14,1,329,574,0,1
29,15,0,329,693,1,1
29,16,1,372,735,0,1
29,17,0,372,780,1,1
29,18,3,387,787,1,1
29,19,1,389,790,0,1
30,0,0,0,1,1,1
30,1,2,40,45,1,1
30,2,1,40,45,0,1
30,3,0,40,79,1,1
30,4,2,50,92,1,1
30,5,1,50,92,0,1
30,6,0,50,116,1,1
30,7,2,66,138,1,1
30,8,2,69,148,1,1
30,9,1,70,150,0,1
30,10,0,70,153,1,1
30,11,2,96,182,1,1
30,12,1,97,183,0,1
30,13,0,97,194,1,1
30,14,2,104,207,1,1
30,15,1,104,207,0,1
30,16,0,104,222,1,1
30,17,2,103,232,1,1
30,18,2,161,295,1,1
30,19,2,151,312,1,1
30,20,2,153,327,1,1
30,21,2,147,332,1,1
30,22,1,149,334,0,1
30,23,0,149,347,1,1
30,24,3,162,357,1,1
30,25,1,267,461,0,1
