uid,cid,ref_diff,ref_len
2020213220,1,104400,208
2020213220,2,236880,331
2020213220,3,158940,293
2020213220,4,243120,235
2020213220,5,364200,244
2020213220,6,233040,382
2020213220,7,1314420,604
2020213220,8,578700,630
2020213220,9,687480,403
2020213220,10,84180,507
2020213220,11,170280,259
2020213220,12,178260,444
2020213220,13,676800,413
2020213700,1,232140,127
2020213700,2,523680,177
2020213700,3,188580,268
2020213700,4,1980,165
2020213700,5,600120,74
2020213700,6,4440,60
2020213700,7,4750560,102
2020213700,9,2936460,117
2020213700,11,1727040,92
2020213700,13,517680,106
2021211158,1,501900,185
2021214131,1,706680,415
2021214131,2,833760,286
2021214131,3,229680,406
2021214131,4,229200,339
2021214131,5,248160,508
2021214131,6,156420,434
2021214131,7,1361640,480
2021214131,8,2156400,635
2021214131,9,1552020,345
2021214131,10,947940,521
2021214131,11,343980,693
2021214131,12,343140,512
2021214132,1,760980,274
2021214132,2,156240,206
2021214132,3,153000,233
2021214132,4,152100,239
2021214132,5,242100,241
2021214132,6,229140,236
2021214132,7,83820,326
2021214132,7,1546020,209
2021214132,8,336420,199
2021214132,9,1218960,209
2021214132,10,614160,259
2021214132,11,194640,238
2021214132,12,97920,299
2021214132,13,56160,507
2021214133,1,6180,184
2021214133,2,255420,163
2021214133,3,536580,199
2021214133,4,261480,174
2021214133,6,3541740,244
2021214133,7,2937000,228
2021214133,8,1727400,160
2021214133,9,1131600,176
2021214133,10,527460,180
2021214134,2,95520,162
2021214134,3,186780,205
2021214134,4,183480,378
2021214134,5,335160,209
2021214134,6,900,581
2021214134,7,1393980,336
2021214134,7,1394100,216
2021214134,10,87180,436
2021214134,11,14520,622
2021214134,12,1200780,312
2021214134,13,663420,382
2021214135,1,95460,165
2021214135,2,522720,159
2021214135,3,20160,149
2021214135,4,525660,193
2021214135,5,233100,157
2021214135,6,20880,215
2021214135,7,1355640,152
2021214135,8,1206660,150
2021214135,9,923700,132
2021214135,10,319620,153
2021214135,11,91020,157
2021214135,12,364560,140
2021214135,13,172080,117
2021214136,1,91260,281
2021214136,2,162000,267
2021214136,3,161700,168
2021214136,4,161640,259
