uid,vid,paused,skip_back,skip_forward,rate_change,watch_num
2020213241,1,1,1,0,7,2
2020213241,2,0,0,0,1,1
2020213241,3,0,0,0,1,1
2020213241,4,0,0,0,2,2
2020213241,5,0,0,0,1,1
2020213241,6,0,0,0,1,1
2020213241,7,0,0,0,1,1
2020213241,8,0,0,0,1,1
2020213241,9,0,0,0,1,1
2020213241,10,0,0,0,2,2
2020213241,11,0,0,0,1,1
2020213241,12,0,0,0,1,1
2020213241,13,0,0,0,1,1
2020213241,15,0,0,0,1,1
2020213241,16,0,0,0,1,1
2020213241,17,0,0,0,1,1
2020213241,18,0,0,0,1,1
2020213241,19,0,0,0,1,1
2020213241,20,0,0,0,1,1
2020213241,21,0,0,0,1,1
2020213241,22,0,0,0,1,1
2020213241,23,0,0,0,1,1
2020213308,1,10,5,2,2,3
2020213308,2,12,6,3,0,1
2020213308,3,7,4,2,0,1
2020213308,4,8,12,1,0,1
2020213308,5,15,11,4,0,2
2020213308,6,1,0,0,0,2
2020213308,7,0,0,0,0,1
2020213308,8,0,0,0,0,1
2020213308,9,0,0,0,0,1
2020213308,10,0,0,0,0,1
2020213308,11,0,0,0,0,1
2020213308,12,1,1,1,0,1
2020213308,13,5,2,0,0,2
2020213308,14,1,1,1,0,1
2020213308,15,4,0,2,0,1
2020213308,16,2,0,0,0,1
2020213308,17,4,1,0,0,1
2020213308,18,2,5,0,0,1
2020213308,19,3,4,2,0,1
2020213308,20,0,3,1,0,1
2020213308,21,29,2,0,0,1
2020213308,22,1,5,1,0,1
2020213308,23,0,0,0,0,1
2020213310,8,0,0,0,1,1
2020213312,1,3,0,0,0,1
2020213312,2,7,8,6,0,2
2020213312,3,9,3,7,0,2
2020213312,4,9,6,1,0,2
2020213312,5,2,2,0,0,2
2020213312,6,3,0,0,0,1
2020213312,7,10,8,3,0,1
2020213312,8,0,0,0,2,1
2020213312,9,0,0,0,1,1
2020213312,10,0,0,0,1,1
2020213312,11,0,0,0,1,1
2020213312,12,6,2,1,0,2
2020213312,13,0,0,0,0,1
2020213312,15,1,1,2,0,3
2020213312,16,3,0,0,1,1
2020213312,17,1,0,0,0,1
2020213312,18,0,0,0,0,1
2020213312,19,3,4,1,0,1
2020213312,20,0,0,0,0,2
2020213312,21,4,5,9,0,2
2020213312,22,1,0,0,0,1
2020213312,23,1,1,0,0,2
2020213313,1,1,1,0,0,1
2020213313,2,0,0,0,1,1
2020213313,3,0,0,0,1,1
2020213313,4,0,0,0,0,1
2020213313,6,0,0,0,1,1
2020213313,7,0,0,0,1,1
2020213313,8,0,0,0,0,1
2020213313,9,0,0,1,0,1
2020213313,10,0,0,0,0,1
2020213313,11,0,0,0,1,2
2020213313,12,0,0,1,0,1
2020213313,13,0,0,0,0,1
2020213313,15,1,0,0,1,1
2020213313,16,0,0,8,0,1
2020213313,17,1,0,2,0,1
2020213313,19,0,0,1,0,1
2020213313,20,1,0,1,0,1
2020213313,21,1,1,2,0,1
2020213313,22,0,0,0,0,1
2020213313,23,0,0,0,0,1
2020213315,1,0,0,0,0,1
2020213316,1,0,0,0,0,1
2020213318,1,0,0,0,1,1
2020213318,2,0,0,0,1,1
2020213318,3,0,0,0,0,1
2020213318,4,4,2,0,0,1
2020213318,5,1,0,0,1,1
2020213320,1,5,0,0,0,1
2020213320,2,0,0,0,0,1
2020213320,3,7,0,0,0,1
2020213320,4,9,1,1,0,1
2020213320,5,0,1,1,1,1
2020213320,6,0,0,0,1,1
2020213320,7,0,0,0,1,1
2020213320,8,0,0,0,1,1
2020213320,9,0,0,0,1,1
2020213320,10,0,0,0,1,1
2020213320,11,0,0,0,1,1
2020213320,12,0,0,0,1,1
2020213320,13,0,0,0,1,1
2020213320,15,0,0,0,1,1
2020213320,16,0,0,0,1,1
2020213320,17,0,0,0,1,1
2020213320,18,0,0,0,1,1
2020213320,19,0,0,0,1,1
2020213320,20,0,0,0,1,1
2020213320,21,0,0,0,1,1
2020213320,22,0,0,0,1,1
2020213320,23,0,0,0,1,1
2020213322,1,0,0,0,1,1
2020213322,2,8,4,1,0,1
2020213322,3,14,7,0,0,1
2020213322,4,9,5,0,0,1
2020213322,5,2,0,0,0,1
2020213322,6,0,0,0,1,1
2020213322,7,0,0,0,1,1
2020213322,8,0,0,0,1,1
2020213322,9,0,0,0,1,1
2020213322,10,0,0,0,2,2
2020213322,11,0,0,0,1,1
2020213322,12,0,0,0,0,1
2020213322,13,0,0,0,0,1
2020213322,15,0,0,0,1,2
2020213322,16,0,0,0,0,1
2020213322,17,0,0,0,1,1
2020213322,18,0,0,0,1,1
2020213322,19,0,0,0,1,1
2020213322,20,0,0,0,1,1
2020213322,21,0,0,0,1,1
2020213322,22,1,0,0,0,1
2020213323,1,0,0,2,0,1
