uid,vid,quiz_time,used_time(s),grade
2020213241,1,2022-09-11 13:48:55,490,75
2020213241,2,2022-09-11 14:00:38,195,100
2020213241,3,2022-09-11 14:10:36,180,75
2020213241,4,2022-09-11 15:32:22,103,100
2020213241,5,2022-09-11 15:39:37,153,100
2020213241,6,2022-11-08 14:59:43,182,100
2020213241,7,2022-11-08 15:07:24,536,100
2020213241,8,2022-11-08 15:20:30,236,100
2020213241,9,2022-11-08 15:33:02,321,75
2020213241,10,2022-12-18 00:17:39,1025,50
2020213241,11,2022-12-18 00:43:40,188,75
2020213241,12,2022-12-18 00:52:30,172,100
2020213241,13,2022-12-18 00:58:44,303,50
2020213241,15,2022-12-18 01:18:22,189,100
2020213241,16,2022-12-18 01:32:26,285,100
2020213241,17,2022-12-18 01:44:04,373,100
2020213241,18,2022-12-18 01:57:46,154,100
2020213241,19,2022-12-18 15:59:28,344,100
2020213241,20,2022-12-18 16:09:39,202,100
2020213241,21,2022-12-18 02:06:55,188,100
2020213241,22,2022-12-18 15:25:18,178,100
2020213241,23,2022-12-18 15:31:05,1049,100
2020213308,1,2022-09-11 15:31:36,112,100
2020213308,2,2022-09-11 15:57:31,44,100
2020213308,3,2022-09-11 16:22:58,147,100
2020213308,4,2022-09-11 16:56:21,153,75
2020213308,5,2022-09-11 17:37:13,67,100
2020213308,6,2022-10-30 13:48:32,121,100
2020213308,7,2022-10-30 13:59:06,440,75
2020213308,8,2022-10-30 14:14:50,174,75
2020213308,9,2022-10-30 14:27:24,122,100
2020213308,10,2022-10-30 14:38:25,163,50
2020213308,11,2022-10-30 14:55:35,196,50
2020213308,12,2022-10-30 15:09:24,115,100
2020213308,13,2022-10-30 15:35:46,125,100
2020213308,14,2022-10-30 15:51:53,49,100
2020213308,15,2022-12-01 15:44:42,162,100
2020213308,16,2022-12-01 16:14:30,354,75
2020213308,17,2022-12-01 16:30:58,526,100
2020213308,18,2022-12-12 13:50:40,176,75
2020213308,19,2022-12-12 14:18:24,356,100
2020213308,20,2022-12-12 14:28:54,37,75
2020213308,21,2022-12-12 15:31:08,198,100
2020213308,22,2022-12-12 15:47:36,223,75
2020213308,23,2022-12-12 15:56:47,105,100
2020213312,1,2022-09-11 20:39:19,116,100
2020213312,2,2022-09-11 21:41:36,59,100
2020213312,3,2022-09-11 22:32:23,59,100
2020213312,4,2022-09-11 22:45:20,5,100
2020213312,5,2022-09-11 22:58:34,6,100
2020213312,6,2022-10-14 11:03:03,242,100
2020213312,7,2022-10-14 11:28:30,175,25
2020213312,8,2022-10-14 11:45:37,57,100
2020213312,9,2022-10-30 19:08:54,144,75
2020213312,10,2022-10-30 19:16:39,149,75
2020213312,11,2022-10-30 19:27:41,48,50
2020213312,12,2022-10-30 19:45:54,115,100
2020213312,13,2022-11-14 11:59:51,272,100
2020213312,15,2022-11-21 10:37:34,10,100
2020213312,16,2022-11-21 10:59:38,97,75
2020213312,17,2022-11-21 11:10:41,104,100
2020213312,18,2022-11-28 12:51:46,192,100
2020213312,19,2022-11-28 13:30:09,71,100
2020213312,20,2022-11-28 13:37:47,12,100
2020213312,21,2022-12-05 15:54:54,11,100
2020213312,22,2022-12-05 16:19:47,40,50
2020213312,23,2022-12-05 16:33:07,72,100
2020213313,2,2022-09-11 20:02:21,9,100
2020213313,3,2022-09-11 23:39:29,184,75
2020213313,4,2022-09-11 23:48:12,176,25
2020213313,5,2022-09-11 23:52:49,315,100
2020213313,6,2022-10-31 12:02:43,185,100
2020213313,7,2022-10-31 12:10:23,475,75
2020213313,8,2022-10-31 12:27:24,112,100
2020213313,9,2022-10-31 12:47:00,159,75
2020213313,10,2022-10-31 14:29:01,866,25
2020213313,11,2022-10-31 15:27:41,382,75
2020213313,12,2022-10-31 16:03:31,124,75
2020213313,13,2022-11-20 10:03:17,114,100
2020213313,15,2022-11-20 10:32:17,367,100
2020213313,16,2022-11-20 10:41:13,259,75
2020213313,17,2023-01-01 18:35:40,539,25
2020213313,18,2023-01-01 18:17:32,697,75
2020213313,19,2023-01-01 18:47:39,444,75
2020213313,20,2023-01-01 18:55:59,621,100
2020213313,21,2023-01-01 19:07:01,261,100
2020213313,22,2023-01-01 19:13:27,287,75
2020213313,23,2023-01-01 19:25:06,279,100
2020213316,1,2022-09-12 11:31:44,99,100
2020213316,2,2022-09-19 09:09:21,513,50
2020213316,3,2022-11-21 15:31:29,248,75
2020213316,4,2022-11-21 16:00:50,198,75
2020213316,5,2022-11-21 16:04:28,89,75
2020213316,6,2022-11-21 16:06:24,164,100
2020213316,7,2022-11-21 16:09:46,374,75
2020213316,8,2022-11-21 16:16:32,96,100
2020213316,9,2022-11-21 16:18:33,113,50
2020213316,10,2022-11-21 16:21:54,330,75
2020213318,1,2022-09-12 12:37:15,133,100
2020213318,2,2022-09-12 13:12:02,102,50
2020213318,3,2022-09-12 13:21:42,164,75
2020213318,4,2022-09-12 13:31:18,42,100
2020213318,5,2022-09-12 13:41:44,104,100
2020213320,1,2022-09-11 15:59:32,244,100
2020213320,2,2022-09-11 16:09:07,83,100
2020213320,3,2022-09-11 16:24:31,60,75
2020213320,4,2022-09-11 16:36:46,20,50
2020213320,5,2022-09-11 16:50:29,197,100
2020213320,6,2022-12-29 19:38:52,86,75
2020213320,7,2022-12-29 19:43:35,85,50
2020213320,8,2022-12-29 19:48:48,125,100
2020213320,9,2022-12-29 19:56:22,33,75
2020213320,10,2022-12-29 19:58:25,275,25
2020213320,11,2022-12-29 20:04:37,54,75
2020213320,12,2022-12-29 20:10:53,62,100
2020213320,13,2022-12-29 20:59:15,16,100
2020213320,15,2022-12-29 21:06:35,63,100
2020213320,16,2022-12-29 21:10:34,178,50
2020213320,17,2022-12-29 21:17:05,155,75
2020213320,18,2022-12-29 21:24:03,148,75
2020213320,19,2022-12-29 21:37:30,269,100
2020213320,20,2022-12-29 21:48:18,66,100
2020213320,21,2022-12-29 21:56:06,177,75
2020213320,22,2022-12-29 22:03:24,99,75
2020213320,23,2022-12-29 22:08:04,155,100
2020213322,1,2022-09-11 12:15:22,60,100
2020213322,2,2022-09-11 12:26:21,38,75
2020213322,3,2022-09-11 16:54:44,529,100
2020213322,4,2022-09-11 20:20:07,69,50
2020213322,5,2022-09-11 20:33:46,113,100
2020213322,6,2022-11-06 11:08:32,96,100
2020213322,7,2022-11-06 11:14:33,372,100
2020213322,8,2022-11-06 11:24:56,268,100
2020213322,9,2022-11-06 11:33:59,96,75
2020213322,10,2022-11-06 14:17:19,59,50
2020213322,11,2022-11-06 15:02:36,51,75
2020213322,12,2022-11-06 21:14:20,1284,75
2020213322,13,2022-11-23 10:49:05,181,100
2020213322,15,2022-11-28 22:04:38,85,100
2020213322,16,2022-11-29 16:38:00,5,100
2020213322,17,2022-11-29 16:41:37,214,100
2020213322,18,2022-12-18 10:42:34,109,100
2020213322,19,2022-12-18 10:55:52,117,100
2020213322,20,2022-12-18 11:00:11,105,75
2020213322,21,2022-12-18 11:08:10,213,100
2020213322,22,2022-12-18 11:31:21,44,100
2020213322,23,2022-12-18 11:58:59,168,100
2020213323,1,2022-09-11 19:35:43,62,100
2020213323,2,2022-09-11 19:42:34,41,75
2020213323,3,2022-09-11 19:55:35,547,100
2020213323,4,2022-09-11 20:14:13,147,100
2020213323,5,2022-09-11 20:27:07,28,100
2020213323,6,2022-10-29 17:32:32,68,100
2020213323,7,2022-10-29 17:41:56,22,75
2020213323,8,2022-10-29 17:50:24,34,75
2020213323,9,2022-10-29 19:50:17,10,75
2020213323,10,2022-10-29 19:56:28,128,75
2020213323,11,2022-10-31 14:05:11,88,50
2020213323,12,2022-11-01 22:31:52,91,100
2020213323,13,2022-11-07 12:33:30,29,100
2020213323,14,2022-11-07 12:39:35,35,75
2020213323,15,2022-11-14 09:27:45,125,75
2020213323,16,2022-11-21 09:47:55,126,100
2020213323,17,2022-11-21 14:00:29,59,75
2020213323,18,2022-12-15 11:01:36,38,100
2020213323,19,2022-12-15 11:25:12,95,100
2020213323,20,2022-12-15 11:30:47,98,75
2020213323,21,2022-12-16 20:02:30,64,100
2020213323,22,2022-12-16 19:43:15,26,75
2020213323,23,2022-12-16 19:49:11,170,100
2020213326,1,2022-09-12 09:06:02,225,100
