uid,vid,quiz_time,used_time(s),grade
2020213220,1,2022-09-03 16:02:07,118,75
2020213220,2,2022-09-04 11:33:44,79,100
2020213220,3,2022-09-04 17:12:08,66,100
2020213220,4,2022-09-18 11:10:21,92,100
2020213220,5,2022-09-18 11:16:19,233,100
2020213220,7,2022-09-28 21:20:20,311,75
2020213220,8,2022-09-28 22:07:32,130,100
2020213220,9,2022-10-12 22:12:44,34,100
2020213220,10,2022-10-12 22:52:34,122,75
2020213220,11,2022-10-12 23:07:59,61,100
2020213220,13,2022-11-05 18:21:03,99,100
2020213220,14,2022-11-06 12:20:55,34,100
2020213220,15,2022-11-17 19:36:26,226,75
2020213220,16,2022-11-19 16:34:23,31,100
2020213220,17,2022-11-19 16:43:46,26,100
2020213220,19,2022-11-28 21:39:34,57,100
2020213220,20,2022-11-28 21:44:47,45,100
2020213220,21,2022-10-04 21:14:56,65,100
2020213220,22,2022-09-11 13:47:44,173,100
2020213220,23,2022-09-11 13:59:40,107,67
2020213220,24,2022-09-11 14:07:44,90,33
2020213220,25,2022-09-11 14:33:32,196,100
2020213700,1,2022-09-06 16:58:49,119,50
2020213700,2,2022-09-06 17:10:31,59,75
2020213700,3,2022-09-06 17:15:23,43,50
2020213700,4,2022-09-17 22:53:52,83,75
2020213700,5,2022-09-17 23:06:09,47,50
2020213700,7,2022-09-25 10:22:34,28,75
2020213700,8,2022-09-25 10:31:48,56,75
2020213700,9,2022-12-01 16:40:31,8,0
2020213700,10,2022-12-01 16:43:50,40,75
2020213700,11,2022-12-01 16:52:35,28,100
2020213700,13,2022-12-01 16:56:25,7,100
2020213700,14,2022-12-01 17:00:25,38,67
2020213700,15,2022-12-01 17:04:41,175,100
2020213700,16,2022-12-01 17:10:40,35,100
2020213700,17,2022-12-01 17:14:30,23,75
2020213700,18,2022-12-01 17:18:08,37,75
2020213700,19,2022-12-01 17:22:22,18,75
2020213700,20,2022-12-01 17:27:25,22,100
2020213700,21,2022-10-06 16:36:17,16,67
2020213700,22,2022-09-14 19:33:51,69,100
2020213700,23,2022-09-14 19:37:56,71,100
2020213700,24,2022-09-14 19:42:59,69,67
2020213700,25,2022-09-14 19:47:36,97,100
2021211158,1,2022-09-07 12:44:33,37,50
2021211158,2,2022-09-07 12:54:43,46,100
2021211158,3,2022-09-07 13:12:00,46,100
2021214131,1,2022-09-03 10:22:38,443,100
2021214131,2,2022-09-03 10:45:41,494,50
2021214131,3,2022-09-03 11:05:29,200,100
2021214131,4,2022-09-18 10:12:35,543,75
2021214131,7,2022-09-25 09:07:35,301,100
2021214131,8,2022-09-25 09:25:57,209,100
2021214131,9,2022-10-08 12:50:47,128,100
2021214131,10,2022-10-08 13:00:45,318,50
2021214131,11,2022-10-08 13:12:54,100,100
2021214131,13,2022-11-14 23:06:08,29,100
2021214131,14,2022-11-14 23:13:36,97,100
2021214131,15,2022-11-14 23:19:29,16,100
2021214131,16,2022-11-14 23:26:08,48,100
2021214131,17,2022-11-21 15:54:03,307,100
2021214131,18,2022-11-21 16:38:13,80,100
2021214131,19,2022-11-28 15:30:56,411,100
2021214131,20,2022-11-28 15:45:25,21,100
2021214131,21,2022-10-03 22:53:25,32,100
2021214131,22,2022-09-09 21:30:33,125,100
2021214131,23,2022-09-09 21:48:14,445,67
2021214131,24,2022-09-09 22:01:35,146,67
2021214131,25,2022-09-09 22:10:52,326,100
2021214132,1,2022-09-02 22:08:44,58,100
2021214132,2,2022-09-02 22:30:17,47,75
2021214132,3,2022-09-02 22:45:50,70,100
2021214132,4,2022-09-17 23:38:32,58,100
2021214132,5,2022-09-17 23:42:31,184,100
2021214132,7,2022-09-25 13:02:25,91,100
2021214132,8,2022-09-25 13:09:40,99,100
2021214132,9,2022-10-08 21:57:40,24,100
2021214132,10,2022-10-08 22:03:42,66,100
2021214132,11,2022-10-08 22:11:05,143,100
2021214132,13,2022-11-13 22:22:05,23,100
2021214132,14,2022-11-13 22:26:28,64,100
2021214132,15,2022-11-13 22:33:31,13,75
2021214132,16,2022-11-13 22:36:14,74,100
2021214132,17,2022-11-19 23:28:08,62,75
2021214132,18,2022-11-19 23:35:59,13,50
2021214132,19,2022-12-01 18:23:49,38,75
2021214132,20,2022-12-01 18:29:25,21,100
2021214132,21,2022-10-03 15:10:40,45,100
2021214132,22,2022-09-10 13:37:31,143,100
2021214132,23,2022-09-10 13:44:40,155,67
2021214132,24,2022-09-10 13:52:27,46,67
2021214132,25,2022-09-10 13:57:06,57,100
2021214133,2,2022-09-11 17:06:02,169,75
2021214133,3,2022-09-11 17:19:10,195,75
2021214133,9,2022-11-16 16:54:25,109,75
2021214133,10,2022-11-16 17:02:21,81,50
2021214133,11,2022-11-16 17:12:01,20,100
2021214133,13,2022-11-16 17:18:49,6,100
2021214133,14,2022-11-16 17:28:32,8,100
2021214133,15,2022-11-16 17:43:57,42,75
2021214133,16,2022-11-16 17:38:17,78,67
2021214133,21,2022-11-16 16:52:53,4,67
2021214133,22,2022-09-11 17:43:52,84,100
2021214133,23,2022-09-11 17:55:46,7,33
2021214133,24,2022-09-11 18:21:03,145,67
2021214134,1,2022-09-01 20:41:53,113,75
2021214134,2,2022-09-01 20:54:44,99,100
