uid,content,title,time
2020213241,"1.1 数据库系统概述
1.1.1四个基本概念
数据(Data)数据库(Database)数据库管理系统(DBMS)数据库系统(DBS)

一、数据
（1）数据(Data)是数据库中存储的基本对象
（2）数据的定义：描述事物的符号记录
（3）数据的种类: 文本、图形、图像、音频、视频、学生的档案记录、货物的运输情况等
（4）数据的特点: 数据与其语义是不可分的

二、数据库
（1）数据库的定义：数据库(Database,简称DB)是长期储存在计算机内、有组织的、可共享的大量数据的集合。
（2）数据库的基本特征：数据按一定的数据模型组织、描述和储存；可为各种用户共享；冗余度较小；数据独立性较高；易扩展

三、数据库管理系统
（1）DBMS（DataBase Management System）:位于用户与操作系统之间的一层数据管理软件。是基础软件，是一个大型复杂的软件系统
（2）DBMS的用途:科学地组织和存储数据、高效地获取和维护数据
（3）DBMS的主要功能：数据定义功能；数据组织、存储和管理；数据操纵功能；数据库的事务管理和运行管理；数据库的建立和维护功能(实用程序)

四、数据库管理系统
（1）数据库系统（Database System，简称DBS）：在计算机系统中引入数据库后的系统构成
（2）数据库系统的构成：数据库、数据库管理系统（及其开发工具）、应用系统、数据库管理员

1.2 数据模型  
1.2.1 两大类数据模型
（1）在数据库中用数据模型这个工具来抽象、表示和处理现实世界中的数据和信息。通俗地讲数据模型就是现实世界的模拟。
（2）数据模型应满足三方面要求：能比较真实地模拟现实世界、容易为人所理解、便于在计算机上实现
（3）数据模型分为两类（分属两个不同的层次）
1.概念模型也称信息模型，它是按用户的观点来对数据和信息建模，用于数据库设计。	2.逻辑模型和物理模型。逻辑模型主要包括网状模型、层次模型、关系模型、面向对象模型等，按计算机系统的观点对数据建模，用于DBMS实现。物理模型是对数据最底层的抽象，描述数据在系统内部的表示方式和存取方法，在磁盘或磁带上的存储方式和存取方法。

1.2.2 数据模型的组成要素
数据结构数据操作完整性约束条件

一、数据结构
（1）数据结构：描述数据库的组成对象，以及对象之间的联系
（2）描述的内容
与数据类型、内容、性质有关的对象
与数据之间联系有关的对象数据结构是对系统静态特性的描述

二、数据操作
（1）数据操作：对数据库中各种对象(型)的实例(值)允许执行的操作及有关的操作规则
（2）数据操作的类型：查询、更新(包括插入、删除、修改)

三、数据的完整性约束条件
（1）数据的完整性约束条件：
一组完整性规则的集合。
完整性规则：给定的数据模型中数据及其联系所具有的制约和储存规则
用以限定符合数据模型的数据库状态以及状态的变化，以保证数据的正确、有效、相容。

1.2.3 概念模型
一、信息世界中的基本概念
(1)实体（Entity）客观存在并可相互区别的事物称为实体。可以是具体的人、事、物或抽象的概念。
(2)属性（Attribute）实体所具有的某一特性称为属性。一个实体可以由若干个属性来刻画。
(3)码（Key）唯一标识实体的属性集称为码。
(4)域（Domain）属性的取值范围称为该属性的域。
(5)实体型（Entity Type）用实体名及其属性名集合来抽象和刻画同类实体称为实体型
(6)实体集（Entity Set）同一类型实体的集合称为实体集
(7) 联系（Relationship）现实世界中事物内部以及事物之间的联系在信息世界中反映为实体内部的联系和实体之间的联系。实体内部的联系通常是指组成实体的各属性之间的联系实体之间的联系通常是指不同实体集之间的联系

二、两个实体型之间的联系
1:1联系 1:n联系 m:n联系
实体－联系方法(E-R方法)：用E-R图来描述现实世界的概念模型。E-R方法也称为E-R模型",第一章绪论1.1 数据库系统概述1.2 数据模型,2022-09-11 20:05:09
2020213241,"1.2.4最常用的数据模型
（1）非关系模型
层次模型
网状模型
（2）关系模型  
（3）面向对象模型
（4）对象关系模型
1.2.5层次模型：
（1）层次模型是数据库系统中最早出现的数据模型
（2）层次数据库系统的典型代表是IBM公司的IMS数据库管理系统
（3）层次模型用树形结构来表示各类实体以及实体间的联系
（4）满足下面两个条件的基本层次联系的集合为层次模型：1. 有且只有一个结点没有双亲结点，这个结点称为根结点2. 根以外的其它结点有且只有一个双亲结点
（5）层次模型中的几个术语根结点，双亲结点，兄弟结点，叶结点

优点：
（1）层次模型的数据结构比较简单清晰
（2）查询效率高，性能优于关系模型，不低于网状模型
（3）层次数据模型提供了良好的完整性支持
缺点：
（1）多对多联系表示不自然
（2）对插入和删除操作的限制多，应用程序的编写比较复杂
（3）查询子女结点必须通过双亲结点
（4）由于结构严密，层次命令趋于程序化

多对多联系在层次模型中的表示：用层次模型间接表示多对多联系
方法：将多对多联系分解成一对多联系
分解方法：冗余结点法 虚拟结点法

层次模型的完整性约束条件
（1）无相应的双亲结点值就不能插入子女结点值
（2）如果删除双亲结点值，则相应的子女结点值也被同时删除
（3）更新操作时，应更新所有相应记录，以保证数据的一致性

邻接法：
按照层次树前序遍历的顺序把所有记录值依次邻接存放，即通过物理空间的位置相邻来实现层次顺序
链接法：
用指引来反映数据之间的层次联系
子女－兄弟链接法
层次序列链接法
1.2.6网状模型
网状数据库系统采用网状模型作为数据的组织方式
典型代表是DBTG系统
网状模型满足下面两个条件的基本层次联系的集合：
1.允许一个以上的结点无双亲；2. 一个结点可以有多于一个的双亲。

网状模型与层次模型的区别
（1）网状模型允许多个结点没有双亲结点
（2）网状模型允许结点有多个双亲结点
（3）网状模型允许两个结点之间有多种联系（复合联系）
（4）网状模型可以更直接地去描述现实世界
（5）层次模型实际上是网状模型的一个特例

多对多联系在网状模型中的表示：用网状模型间接表示多对多联系
方法：将多对多联系直接分解成一对多联系
优点：
（1）能够更为直接地描述现实世界，如一个结点可以有多个双亲
（2）  具有良好的性能，存取效率较高
缺点：
（1）结构比较复杂，而且随着应用环境的扩大，数据库的结构就变得越来越复杂，不利于最终用户掌握
（2）DDL、DML语言复杂，用户不容易使用
1.2.7 关系模型
关系数据库系统采用关系模型作为数据的组织方式
1970年美国IBM公司San Jose研究室的研究员E.F.Codd首次提出了数据库系统的关系模型
计算机厂商新推出的数据库管理系统几乎都支持关系模型

关系（Relation）一个关系对应通常说的一张表
元组（Tuple）表中的一行即为一个元组
属性（Attribute）表中的一列即为一个属性，给每一个属性起一个名称即属性名
主码（Key）表中的某个属性组，它可以唯一确定一个元组。
域（Domain）属性的取值范围。
分量：元组中的一个属性值。
关系模式：对关系的描述关系名（属性1，属性2，...，属性n）学生（学号，姓名，年龄，性别，系，年级）


关系的完整性约束条件实体完整性参照完整性用户定义的完整性
优点：
（1）建立在严格的数学概念的基础上
（2）概念单一
实体和各类联系都用关系来表示
对数据的检索结果也是关系
（3）关系模型的存取路径对用户透明
具有更高的数据独立性，更好的安全保密性
简化了程序员的工作和数据库开发建立的工作
缺点：
（1）存取路径对用户透明导致查询效率往往不如非关系数据模型
（2）  为提高性能，必须对用户的查询请求进行优化增加了开发DBMS的难度
1.3 数据库系统结构
从数据库管理系统角度看，数据库系统通常采用三级模式结构，是数据库系统内部的系统结构
从数据库最终用户角度看（数据库系统外部的体系结构），数据库系统的结构分为:单用户结构主从式结构分布式结构客户／服务器浏览器／应用服务器／数据库服务器多层结构等
型(Type)对某一类数据的结构和属性的说明值(Value)是型的一个具体赋值
模式的定义数据的逻辑结构（数据项的名字、类型、取值范围等）数据之间的联系数据有关的安全性、完整性要求
外模式（也称子模式或用户模式）数据库用户（包括应用程序员和最终用户）使用的局部数据的逻辑结构和特征的描述数据库用户的数据视图，是与某一应用有关的数据的逻辑表示
内模式（也称存储模式）是数据物理结构和存储方式的描述是数据在数据库内部的表示方式
记录的存储方式（顺序存储，按照B树结构存储，按hash方法存储）
索引的组织方式
数据是否压缩存储
数据是否加密
数据存储记录结构的规定
一个数据库只有一个内模式
1.4 数据库系统的组成
数据库数据库管理系统（及其开发工具）应用系统数据库管理员 硬件平台及数据库软件人员",第一章剩下全部,2022-09-14 20:33:07
2020213241,"第二章：关系数据库
2.1  关系数据结构及形式化定义2.2  关系操作2.3  关系的完整性2.4  关系代数2.5  关系演算2.6  小结
2.1  关系数据结构及形式化定义
2.1.1  关系2.1.2  关系模式2.1.3  关系数据库
2.1.1关系
单一的数据结构----关系 现实世界的实体以及实体间的各种联系均用关系来表示
逻辑结构----二维表从用户角度，关系模型中数据的逻辑结构是一张二维表建立在集合代数的基础上
1.域（Domain）2.笛卡尔积（CartesianProduct）3.关系（Relation）
域是一组具有相同数据类型的值的集合。笛卡尔积：给定一组域D1，D2，...，Dn，这些域中可以有相同的。D1，D2，...，Dn的笛卡尔积为：D1×D2×...×Dn＝｛（d1，d2，...，dn）｜diDi，i＝1，2，...，n｝所有域的所有取值的一个组合不能重复
元组（Tuple）：笛卡尔积中每一个元素（d1，d2，...，dn）叫作一个n元组（n-tuple）或简称元组(Tuple)
分量（Component）：笛卡尔积元素（d1，d2，...，dn）中的每一个值di叫作一个分量
基数（Cardinalnumber）：若Di（i＝1，2，...，n）为有限集，其基数为mi（i＝1，2，...，n）
笛卡尔积的表示方法：笛卡尔积可表示为一个二维表表中的每行对应一个元组，表中的每列对应一个域
D1×D2×...×Dn的子集叫作在域D1，D2，...，Dn上的关系，表示为R（D1，D2，...，Dn）R：关系名n：关系的目或度（Degree）
元组关系中的每个元素是关系中的元组，通常用t表示。当n=1时，称该关系为单元关系（Unaryrelation）或一元关系当n=2时，称该关系为二元关系（Binaryrelation）
关系也是一个二维表，表的每行对应一个元组，表的每列对应一个域
关系中不同列可以对应相同的域为了加以区分，必须对每列起一个名字，称为属性（Attribute）n目关系必有n个属性
候选码（Candidatekey）若关系中的某一属性组的值能唯一地标识一个元组，则称该属性组为候选码简单的情况：候选码只包含一个属性全码（All-key）最极端的情况：关系模式的所有属性组是这个关系模式的候选码，称为全码（All-key）
主码若一个关系有多个候选码，则选定其中一个为主码（Primarykey）主属性候选码的诸属性称为主属性（Primeattribute）不包含在任何侯选码中的属性称为非主属性（Non-Primeattribute）或非码属性（Non-keyattribute）

2.1.2  关系模式1．什么是关系模式2．定义关系模式3.  关系模式与关系
关系模式（RelationSchema）是型关系是值关系模式是对关系的描述元组集合(关系)的结构属性构成属性来自的域属性与域之间的映象关系元组语义以及完整性约束条件属性间的数据依赖关系集合
关系模式对关系的描述静态的、稳定的关系关系模式在某一时刻的状态或内容动态的、随时间不断变化的关系模式和关系往往统称为关系通过上下文加以区别
2.1.3  关系数据库
关系数据库在一个给定的应用领域中，所有关系的集合构成一个关系数据库关系数据库的型与值
关系数据库的型:关系数据库模式对关系数据库的描述。关系数据库模式包括若干域的定义在这些域上定义的若干关系模式关系数据库的值:关系模式在某一时刻对应的关系的集合，简称为关系数据库
常用的关系操作查询：选择、投影、连接、除、并、交、差数据更新：插入、删除、修改查询的表达能力是其中最主要的部分选择、投影、并、差、笛卡尔基是5种基本操作关系操作的特点集合操作方式：操作的对象和结果都是集合，一次一集合的方式",第二章 关系数据库,2022-11-08 14:42:54
2020213241,"2.3.1  关系的三类完整性约束实体完整性和参照完整性：关系模型必须满足的完整性约束条件称为关系的两个不变性，应该由关系系统自动支持用户定义的完整性：应用领域需要遵循的约束条件，体现了具体领域中的语义约束
规则2.1实体完整性规则（EntityIntegrity）若属性A是基本关系R的主属性，则属性A不能取空值
实体完整性规则是针对基本关系而言的。一个基本表通常对应现实世界的一个实体集。(2)现实世界中的实体是可区分的，即它们具有某种唯一性标识。(3)关系模型中以主码作为唯一性标识。(4)主码中的属性即主属性不能取空值。主属性取空值，就说明存在某个不可标识的实体，即存在不可区分的实体，这与第（2）点相矛盾，因此这个规则称为实体完整性
在关系模型中实体及实体间的联系都是用关系来描述的，因此可能存在着关系与关系间的引用
设F是基本关系R的一个或一组属性，但不是关系R的码。如果F与基本关系S的主码Ks相对应，则称F是基本关系R的外码基本关系R称为参照关系（ReferencingRelation）基本关系S称为被参照关系（ReferencedRelation）或目标关系（TargetRelation）
关系R和S不一定是不同的关系目标关系S的主码Ks 和参照关系的外码F必须定义在同一个（或一组）域上外码并不一定要与相应的主码同名当外码与相应的主码属于不同关系时，往往取相同的名字，以便于识别
规则2.2参照完整性规则若属性（或属性组）F是基本关系R的外码它与基本关系S的主码Ks相对应（基本关系R和S不一定是不同的关系），则对于R中每个元组在F上的值必须为：或者取空值（F的每个属性值均为空值）或者等于S中某个元组的主码值
R和S具有相同的目n（即两个关系都有n个属性）相应的属性取自同一个域R∪S仍为n目关系，由属于R或属于S的元组组成R∪S={t|tR∨tS}
R和S具有相同的目n相应的属性取自同一个域R-S仍为n目关系，由属于R而不属于S的所有元组组成R-S={t|tR∧tS}
R和S具有相同的目n相应的属性取自同一个域R∩S仍为n目关系，由既属于R又属于S的元组组成R∩S={t|tR∧tS}R∩S=R–(R-S）
严格地讲应该是广义的笛卡尔积（ExtendedCartesianProduct）R:n目关系，k1个元组S:m目关系，k2个元组R×S列：（n+m）列元组的集合•元组的前n列是关系R的一个元组•后m列是关系S的一个元组行：k1×k2个元组•R×S={trts|trR∧tsS}",第二章 关系数据库（续1）,2022-11-08 14:47:40
2020213241,"R，tR，t[Ai]设关系模式为R(A1，A2，...，An)它的一个关系设为RtR表示t是R的一个元组t[Ai]则表示元组t中相应于属性Ai的一个分量
若A={Ai1，Ai2，...，Aik}，其中Ai1，Ai2，...，Aik是A1，A2，...，An中的一部分，则A称为属性列或属性组。t[A]=(t[Ai1]，t[Ai2]，...，t[Aik])表示元组t在属性列A上诸分量的集合。A则表示{A1，A2，...，An}中去掉{Ai1，Ai2，...，Aik}后剩余的属性组。
R为n目关系，S为m目关系。tr R，tsS，tr ts称为元组的连接。tr ts是一个n+ m列的元组，前n个分量为R中的一个n元组，后m个分量为S中的一个m元组。
给定一个关系R（X，Z），X和Z为属性组。当t[X]=x时，x在R中的象集（ImagesSet）为：Zx={t[Z]|tR，t[X]=x}它表示R中属性组X上值为x的诸元组在Z上分量的集合
选择又称为限制（Restriction）2)选择运算符的含义在关系R中选择满足给定条件的诸元组σF(R)={t|tR∧F(t)='真'}F：选择条件，是一个逻辑表达式，基本形式为：X1θY1
选择运算是从关系R中选取使逻辑表达式F为真的元组，是从行的角度进行的运算σ
从R中选择出若干属性列组成新的关系πA(R)={t[A]|tR}A：R中的属性列
投影操作主要是从列的角度进行运算但投影之后不仅取消了原关系中的某些列，而且还可能取消某些元组（避免重复行）
连接也称为θ连接2）连接运算的含义从两个关系的笛卡尔积中选取属性间满足一定条件的元组RS={|trR∧tsS∧tr[A]θts[B]}A和B：分别为R和S上度数相等且可比的属性组θ：比较运算符连接运算从R和S的广义笛卡尔积R×S中选取（R关系）在A属性组上的值与（S关系）在B属性组上值满足比较关系θ的元组AθBtr ts
等值连接（equijoin）什么是等值连接θ为“＝”的连接运算称为等值连接等值连接的含义从关系R与S的广义笛卡尔积中选取A、B属性值相等的那些元组，即等值连接为：R    S= {          | trR∧ts S∧tr[A] = ts[B] }  A=Btr ts
自然连接是一种特殊的等值连接两个关系中进行比较的分量必须是相同的属性组在结果中把重复的属性列去掉•自然连接的含义R和S具有相同的属性组BRS= {         | tr R∧ts S∧tr[B] = ts[B] } 
一般的连接操作是从行的角度进行运算。自然连接还需要取消重复列，所以是同时从行和列的角度进行运算。
外连接如果把舍弃的元组也保存在结果关系中，而在其他属性上填空值(Null)，这种连接就叫做外连接（OUTER JOIN）。左外连接如果只把左边关系R中要舍弃的元组保留就叫做左外连接(LEFT OUTER JOIN或LEFT JOIN)右外连接如果只把右边关系S中要舍弃的元组保留就叫做右外连接(RIGHT OUTER JOIN或RIGHT JOIN)。
关系代数运算并、差、交、笛卡尔积、投影、选择、连接、除基本运算并、差、笛卡尔积、投影、选择交、连接、除可以用5种基本运算来表达引进它们并不增加语言的能力，但可以简化表达
关系数据库系统是目前使用最广泛的数据库系统关系数据库系统与非关系数据库系统的区别：关系系统只有“表”这一种数据结构；非关系数据库系统还有其他数据结构，以及对这些数据结构的操作
",第二章 关系数据库（续2）,2022-11-08 14:52:54
2020213241,"第三章关系数据库标准语言SQL
SQL（Structured Query Language）结构化查询语言，是关系数据库的标准语言SQL是一个通用的、功能极强的关系数据库语言
3.1.2  SQL的特点1.综合统一集数据定义语言（DDL），数据操纵语言（DML），数据控制语言（DCL）功能于一体。可以独立完成数据库生命周期中的全部活动：定义关系模式，插入数据，建立数据库；对数据库中的数据进行查询和更新；数据库重构和维护数据库安全性、完整性控制等用户数据库投入运行后，可根据需要随时逐步修改模式，不影响数据的运行。数据操作符统一
非关系数据模型的数据操纵语言“面向过程”，必须制定存取路径SQL只要提出“做什么”，无须了解存取路径。存取路径的选择以及SQL的操作过程由系统自动完成。
非关系数据模型采用面向记录的操作方式，操作对象是一条记录SQL采用集合操作方式操作对象、查找结果可以是元组的集合一次插入、删除、更新操作的对象可以是元组的集合
SQL是独立的语言能够独立地用于联机交互的使用方式SQL又是嵌入式语言SQL能够嵌入到高级语言（例如C，C++，Java）程序中，供程序员设计程序时使用
SQL功能极强，完成核心功能只用了9个动词
基本表本身独立存在的表SQL中一个关系就对应一个基本表一个(或多个)基本表对应一个存储文件一个表可以带若干索引存储文件逻辑结构组成了关系数据库的内模式物理结构是任意的，对用户透明视图从一个或几个基本表导出的表数据库中只存放视图的定义而不存放视图对应的数据视图是一个虚表用户可以在视图上再定义视图
SQL的数据定义功能: 模式定义、表定义、视图和索引的定义
一、定义基本表CREATETABLE<表名>（<列名><数据类型>[<列级完整性约束条件>][，<列名><数据类型>[<列级完整性约束条件>]]...[，<表级完整性约束条件>]）；如果完整性约束条件涉及到该表的多个属性列，则必须定义在表级上，否则既可以定义在列级也可以定义在表级。
SQL中域的概念用数据类型来实现定义表的属性时需要指明其数据类型及长度选用哪种数据类型取值范围要做哪些运算
每一个基本表都属于某一个模式一个模式包含多个基本表定义基本表所属模式方法一：在表名中明显地给出模式名Create table “S-T”.Student（......）;   /*模式名为S-T*/Create table “S-T”.Cource（......）;Create table “S-T”.SC（......）; 方法二：在创建模式语句中同时创建表方法三：设置所属的模式
RESTRICT：删除表是有限制的。欲删除的基本表不能被其他表的约束所引用如果存在依赖该表的对象，则此表不能被删除CASCADE：删除该表没有限制。在删除基本表的同时，相关的依赖对象一起删除
基本表定义被删除，数据被删除表上建立的索引、视图、触发器等一般也将被删除
建立索引的目的：加快查询速度谁可以建立索引DBA或表的属主（即建立表的人）DBMS一般会自动建立以下列上的索引PRIMARYKEYUNIQUE谁维护索引DBMS自动完成使用索引DBMS自动选择是否使用索引以及使用哪些索引
ORDERBY子句可以按一个或多个属性列排序升序：ASC；降序：DESC；缺省值为升序当排序列含空值时ASC：排序列为空值的元组最后显示DESC：排序列为空值的元组最先显示
HAVING短语与WHERE子句的区别：作用对象不同WHERE子句作用于基表或视图，从中选择满足条件的元组HAVING短语作用于组，从中选择满足条件的组。
",第三章关系数据库标准语言SQL,2022-11-08 15:27:13
2020213241,"第三章关系数据库标准语言SQL (续1）
连接查询：同时涉及多个表的查询连接条件或连接谓词：用来连接两个表的条件一般格式：[<表名1>.]<列名1>  <比较运算符>[<表名2>.]<列名2>[<表名1>.]<列名1> BETWEEN[<表名2>.]<列名2> AND[<表名2>.]<列名3>连接字段：连接谓词中的列名称连接条件中的各连接字段类型必须是可比的，但名字不必是相同的
等值连接：连接运算符为=
自身连接：一个表与其自己进行连接需要给表起别名以示区别由于所有属性名都是同名属性，因此必须使用别名前缀
外连接与普通连接的区别普通连接操作只输出满足连接条件的元组外连接操作以指定表为连接主体，将主体表中不满足连接条件的元组一并输出
左外连接列出左边关系（如本例Student）中所有的元组右外连接列出右边关系中所有的元组
嵌套查询概述一个SELECT-FROM-WHERE语句称为一个查询块将一个查询块嵌套在另一个查询块的WHERE子句或HAVING短语的条件中的查询称为嵌套查询
子查询的限制不能使用ORDER BY子句层层嵌套方式反映了SQL语言的结构化有些嵌套查询可以用连接运算替代
不相关子查询：子查询的查询条件不依赖于父查询由里向外逐层处理。即每个子查询在上一级查询处理之前求解，子查询的结果用于建立其父查询的查找条件。
集合操作的种类并操作UNION交操作INTERSECT差操作EXCEPT参加集合操作的各查询结果的列数必须相同；对应项的数据类型也必须相同
SELECT[ALL|DISTINCT]  <目标列表达式> [别名] [ ，<目标列表达式> [别名]] ...FROM<表名或视图名> [别名] [ ，<表名或视图名> [别名]] ...[WHERE<条件表达式>][GROUP BY <列名1>[HAVING<条件表达式>]][ORDER BY <列名2> [ASC|DESC]",第三章关系数据库标准语言SQL (续1）,2022-11-08 15:27:30
2020213241,"第三章关系数据库标准语言SQL (续2）
两种插入数据方式1. 插入元组2. 插入子查询结果 可以一次插入多个元组
语句格式INSERTINTO<表名> [(<属性列1>[，<属性列2 >...)]VALUES(<常量1> [，<常量2>]    ...           ) 将新元组插入指定表中
INTO子句 属性列的顺序可与表定义中的顺序不一致 没有指定属性列 指定部分属性列子句 提供的值必须与INTO子句匹配 值的个数 值的类型
语句格式INSERT INTO <表名>  [(<属性列1> [，<属性列2>...  )]子查询； 功能将子查询结果插入指定表中
子查询 SELECT子句目标列必须与INTO子句匹配 值的个数 值的类型
RDBMS在执行插入语句时会检查所插元组是否破坏表上已定义的完整性规则▪实体完整性▪参照完整性▪用户定义的完整性 NOT NULL约束 UNIQUE约束 值域约束
SET子句 指定修改方式 要修改的列 修改后取值 WHERE子句 指定要修改的元组 缺省表示要修改表中的所有元组
三种修改方式1. 修改某一个元组的值2. 修改多个元组的值3. 带子查询的修改语句
RDBMS在执行修改语句时会检查修改操作是否破坏表上已定义的完整性规则 实体完整性 主码不允许修改 用户定义的完整性 NOT NULL约束➢UNIQUE约束 值域约束
三种删除方式1. 删除某一个元组的值2. 删除多个元组的值3. 带子查询的删除语句
视图的特点 虚表，是从一个或几个基本表（或视图）导出的表 只存放视图的定义，不存放视图对应的数据 基表中的数据发生变化，从视图中查询出的数据也随之改变
基于视图的操作 查询 删除 受限更新 定义基于该视图的新视图
语句的格式：DROP  VIEW  <视图名>；▪该语句从数据字典中删除指定的视图定义▪如果该视图上还导出了其他视图，使用CASCADE级联删除语句，把该视图和由它导出的所有视图一起删除▪删除基表时，由该基表导出的所有视图定义都必须显式地使用DROP VIEW语句删除
视图能够简化用户的操作 2. 视图使用户能以多种角度看待同一数据 3. 视图对重构数据库提供了一定程度的逻辑独立性 4. 视图能够对机密数据提供安全保护 5. 适当的利用视图可以更清晰的表达查询
",第三章关系数据库标准语言SQL (续2）,2022-12-18 01:09:16
2020213241,"第四章数据库安全性
计算机系统安全性▪为计算机系统建立和采取的各种安全保护措施，以保护计算机系统中的硬件、软件及数据，防止其因偶然或恶意的原因使系统遭到破坏，数据遭到更改或泄露等。
三类计算机系统安全性问题▪技术安全类▪管理安全类▪政策法律类
非法使用数据库的情况▪编写合法程序绕过DBMS及其授权机制▪直接或编写应用程序执行非授权操作▪通过多次合法查询数据库从中推导出一些保密数据
数据库安全性控制的常用方法▪用户标识和鉴定▪存取控制▪视图▪审计▪密码存储
通过SQL 的GRANT语句和REVOKE语句实现 用户权限组成 数据对象 操作类型 定义用户存取权限：定义用户可以在哪些数据库对象上进行哪些类型的操作 定义存取权限称为授权
一、GRANT GRANT语句的一般格式：GRANT<权限>[,<权限>]...[ON<对象类型><对象名>]TO<用户>[,<用户>]...[WITHGRANTOPTION]; 语义：将对指定操作对象的指定操作权限授予指定的用户
WITH GRANT OPTION子句:▪指定：可以再授予▪没有指定：不能传播
二、REVOKE 授予的权限可以由DBA或其他授权者用REVOKE语句收回 REVOKE语句的一般格式为：REVOKE<权限>[,<权限>]...[ON<对象类型><对象名>]FROM<用户>[,<用户>]...;
DBA：拥有所有对象的所有权限▪不同的权限授予不同的用户 用户：拥有自己建立的对象的全部的操作权限▪GRANT：授予其他用户 被授权的用户▪“继续授权”许可：再授予 所有授予出去的权力在必要时又都可用REVOKE语句收回
数据库角色：被命名的一组与数据库操作相关的权限▪角色是权限的集合▪可以为一组具有相同权限的用户创建一个角色▪简化授权的过程
可能存在数据的“无意泄露” 原因：这种机制仅仅通过对数据的存取权限来进行安全控制，而数据本身并无安全性标记 解决：对系统控制下的所有主客体实施强制存取控制策略
敏感度标记（Label）▪绝密（Top Secret）▪机密（Secret）▪可信（Confidential）▪公开（Public） 主体的敏感度标记称为许可证级别（Clearance Level） 客体的敏感度标记称为密级（Classification Level）
什么是审计▪审计日志（Audit Log）将用户对数据库的所有操作记录在上面▪DBA利用审计日志找出非法存取数据的人、时间和内容▪C2以上安全级别的DBMS必须具有
审计分为▪用户级审计➢针对自己创建的数据库表或视图进行审计➢记录所有用户对这些表或视图的一切成功和（或）不成功的访问要求以及各种类型的SQL操作▪系统级审计➢DBA设置➢监测成功或失败的登录要求 监测GRANT和REVOKE操作以及其他数据库级权限下的操作
统计数据库▪允许用户查询聚集类型的信息（如合计、平均值等）▪不允许查询单个记录信息 统计数据库中特殊的安全性问题▪隐蔽的信息通道▪能从合法的查询中推导出不合法的信息
实现数据库系统安全性的技术和方法▪存取控制技术▪视图技术▪审计技术 自主存取控制功能▪通过SQL 的GRANT语句和REVOKE语句实现 角色▪使用角色来管理数据库权限可以简化授权过程▪CREATE  ROLE语句创建角色▪GRANT 语句给角色授权",第四章数据库安全性,2022-12-18 01:09:54
2020213241,"数据库的完整性 数据的正确性和相容性 数据的完整性和安全性是两个不同概念 数据的完整性 防止数据库中存在不符合语义的数据，也就是防止数据库中存在不正确的数据 防范对象：不合语义的、不正确的数据 数据的安全性 保护数据库防止恶意的破坏和非法的存取 防范对象：非法用户和非法操作
为维护数据库的完整性，DBMS必须：n1.提供定义完整性约束条件的机制n2.提供完整性检查的方法n3.违约处理
关系模型的实体完整性 CREATE  TABLE中用PRIMARY KEY定义 单属性构成的码有两种说明方法 定义为列级约束条件 定义为表级约束条件 对多个属性构成的码只有一种说明方法 定义为表级约束条件
插入或对主码列进行更新操作时，RDBMS按照实体完整性规则自动进行检查。包括： 1. 检查主码值是否唯一，如果不唯一则拒绝插入或修改 2. 检查主码的各个属性是否为空，只要有一个为空就拒绝插入或修改
关系模型的参照完整性定义 在CREATE  TABLE中用FOREIGN KEY短语定义哪些列为外码§用REFERENCES短语指明这些外码参照哪些表的主码
用户定义的完整性就是针对某一具体应用的数据必须满足的语义要求vRDBMS提供，而不必由应用程序承担
CREATE TABLE时定义 列值非空（NOT NULL） 列值唯一（UNIQUE） 检查列值是否满足一个布尔表达式（CHECK）
触发器（Trigger）是用户定义在关系表上的一类由事件驱动的特殊过程 由服务器自动激活§可以进行更为复杂的检查和操作，具有更精细和更强大的数据控制能力
定义触发器的语法说明: 1. 创建者：表的拥有者§2. 触发器名§3. 表名：触发器的目标表§4. 触发事件：INSERT、DELETE、UPDATE 5. 触发器类型 行级触发器（FOR EACH ROW）Ø语句级触发器（FOR EACH STATEMENT）
触发条件 触发条件为真 省略WHEN触发条件v7. 触发动作体 触发动作体可以是一个匿名PL/SQL过程块 也可以是对已创建存储过程的调用
触发器的执行，是由触发事件激活的，并由数据库服务器自动执行v一个数据表上可能定义了多个触发器 同一个表上的多个触发器激活时遵循如下的执行顺序： （1）执行该表上的BEFORE触发器； （2）激活触发器的SQL语句； （3）执行该表上的AFTER触发器。
数据库的完整性是为了保证数据库中存储的数据是正确的vRDBMS完整性实现的机制§完整性约束定义机制 完整性检查机制§违背完整性约束条件时RDBMS应采取的动作",第五章数据库完整性,2022-12-18 01:38:01
