"255","1","kakaki","B,C,B,C"," 1,2,"," 3,4,","2022/8/30 14:40:28","2022/8/30 14:40:34","00:00:06","50","2"
"256","1","test","A,B,A,C"," "," 1,2,3,4,","2022/9/2上午9:47:18","2022/9/2上午9:48:33","00:01:15","0","0"
"257","9","test","C,D,D,C"," "," 1,2,3,4,","2022/9/2上午10:23:12","2022/9/2上午10:23:16","00:00:04","0","0"
"258","2","test","C,C,C,B"," "," 1,2,3,4,","2022/9/4 22:27:30","2022/9/4 22:27:39","00:00:08","0","0"
"259","1","2020213313","B,B,C,D"," 1,3,4,"," 2,","2022/9/5 17:44:06","2022/9/5 17:46:21","00:02:14","75","3"
"260","1","2020213331","B,C,C,D"," 1,2,3,4,"," ","2022/9/8 下午2:37:41","2022/9/8 下午2:46:30","00:08:49","100","4"
"261","2","2020213331","D,B,B,C"," 2,3,4,"," 1,","2022/9/8 下午2:52:43","2022/9/8 下午2:55:18","00:02:34","75","3"
"262","3","2020213331","D,D,A,D"," 1,2,3,4,"," ","2022/9/8 下午3:06:27","2022/9/8 下午3:12:14","00:05:46","100","4"
"264","5","2020213331","D,C,A,B"," 1,2,4,"," 3,","2022/9/8 下午3:42:53","2022/9/8 下午3:48:36","00:05:43","75","3"
"265","1","2020213338","B,C,C,A"," 1,2,3,"," 4,","2022/9/9 22:26:11","2022/9/9 22:27:35","00:01:24","75","3"
"266","1","2020213335","B,C,C,D"," 1,2,3,4,"," ","2022/9/10 上午11:31:10","2022/9/10 上午11:32:27","00:01:17","100","4"
"267","1","2020213381","B,C,C,C"," 1,2,3,"," 4,","2022/9/11 11:07:42","2022/9/11 11:08:25","00:00:43","75","3"
"268","1","2020213353","B,C,C,A"," 1,2,3,"," 4,","2022/9/11 上午11:08:41","2022/9/11 上午11:15:56","00:07:15","75","3"
"269","1","2020213355","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 上午11:12:34","2022/9/11 上午11:16:20","00:03:46","100","4"
"270","2","2020213381","A,B,B,A"," 1,2,3,"," 4,","2022/9/11 11:20:09","2022/9/11 11:20:45","00:00:35","75","3"
"271","2","2020213353","A,B,B,A"," 1,2,3,"," 4,","2022/9/11 上午11:26:39","2022/9/11 上午11:26:47","00:00:07","75","3"
"272","2","2020213355","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 上午11:21:56","2022/9/11 上午11:27:07","00:05:10","100","4"
"273","3","2020213381","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 11:34:11","2022/9/11 11:35:27","00:01:15","100","4"
"274","3","2020213355","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 上午11:34:29","2022/9/11 上午11:45:09","00:10:39","100","4"
"275","3","2020213353","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 上午11:44:24","2022/9/11 上午11:45:10","00:00:46","100","4"
"276","4","2020213353","A,B,B,D"," 1,2,3,"," 4,","2022/9/11 上午11:53:11","2022/9/11 上午11:53:20","00:00:08","75","3"
"277","4","2020213355","A,B,B,D"," 1,2,3,"," 4,","2022/9/11 上午11:49:51","2022/9/11 上午11:53:19","00:03:27","75","3"
"278","4","2020213381","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 11:54:37","2022/9/11 11:55:16","00:00:39","100","4"
"279","5","2020213355","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午12:06:56","2022/9/11 下午12:07:05","00:00:08","100","4"
"280","5","2020213353","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午12:05:24","2022/9/11 下午12:07:07","00:01:42","100","4"
"281","5","2020213381","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 12:06:56","2022/9/11 12:08:11","00:01:14","100","4"
"282","1","2020213322","B,C,C,D"," 1,2,3,4,"," ","2022/9/11 12:15:22","2022/9/11 12:16:24","00:01:00","100","4"
"283","2","2020213322","D,B,B,C"," 2,3,4,"," 1,","2022/9/11 12:26:21","2022/9/11 12:27:00","00:00:38","75","3"
"284","2","2020213335","A,B,B,A"," 1,2,3,"," 4,","2022/9/11 下午12:26:46","2022/9/11 下午12:28:54","00:02:08","75","3"
"285","3","2020213335","D,C,A,C"," 1,3,"," 2,4,","2022/9/11 下午12:47:19","2022/9/11 下午12:48:05","00:00:46","50","2"
"286","1","2020213241","B,D,C,D"," 1,3,4,"," 2,","2022/9/11 下午1:48:55","2022/9/11 下午1:57:06","00:08:10","75","3"
"287","4","2020213335","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 下午2:01:07","2022/9/11 下午2:01:17","00:00:09","100","4"
"288","2","2020213241","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 下午2:00:38","2022/9/11 下午2:03:53","00:03:15","100","4"
"289","3","2020213241","D,D,B,D"," 1,2,4,"," 3,","2022/9/11 下午2:10:36","2022/9/11 下午2:13:37","00:03:00","75","3"
"290","1","2020213352","B,C,A,D"," 1,2,4,"," 3,","2022/9/11 14:19:25","2022/9/11 14:20:25","00:00:59","75","3"
"291","2","2020213352","A,B,B,C"," 1,2,3,4,"," ","2022/9/11 14:27:02","2022/9/11 14:27:29","00:00:27","100","4"
"292","5","2020213335","D,C,D,B"," 1,2,3,4,"," ","2022/9/11 下午2:34:19","2022/9/11 下午2:36:26","00:02:07","100","4"
"293","3","2020213352","D,D,A,D"," 1,2,3,4,"," ","2022/9/11 14:36:30","2022/9/11 14:36:50","00:00:20","100","4"
"294","1","2020213327","B,D,C,A"," 1,3,"," 2,4,","2022/9/11 下午2:41:37","2022/9/11 下午2:50:13","00:08:36","50","2"
